Unnamed: 0,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
152,2013,1,1,848.0,853.0,1001.0,851.0,MQ,N942MQ,3944,JFK,BWI,41.0,184,8.0,48.0
482,2013,1,1,1530.0,0.0,1650.0,-5.0,9E,N913XJ,3369,JFK,BWI,40.0,184,15.0,30.0
738,2013,1,1,1957.0,-8.0,2100.0,-26.0,9E,N8598B,4091,JFK,BWI,41.0,184,19.0,57.0
1121,2013,1,2,1003.0,103.0,1105.0,85.0,9E,N8968E,3694,JFK,BWI,39.0,184,10.0,3.0
1377,2013,1,2,1524.0,-6.0,1658.0,3.0,9E,N915XJ,3369,JFK,BWI,41.0,184,15.0,24.0
1589,2013,1,2,1832.0,-3.0,1926.0,-24.0,MQ,N846MQ,3944,JFK,BWI,36.0,184,18.0,32.0
1759,2013,1,2,2150.0,105.0,2255.0,89.0,9E,N8976E,4091,JFK,BWI,39.0,184,21.0,50.0
1998,2013,1,3,859.0,39.0,1011.0,32.0,9E,N8611A,4051,JFK,BWI,41.0,184,8.0,59.0
2328,2013,1,3,1547.0,2.0,1658.0,-5.0,9E,N826AY,3635,JFK,BWI,39.0,184,15.0,47.0
2570,2013,1,3,1939.0,-1.0,2039.0,-27.0,9E,N826AY,4091,JFK,BWI,35.0,184,19.0,39.0
2592,2013,1,3,2001.0,86.0,2101.0,71.0,MQ,N645MQ,3944,JFK,BWI,40.0,184,20.0,1.0
2880,2013,1,4,825.0,5.0,954.0,15.0,9E,N8884E,4051,JFK,BWI,40.0,184,8.0,25.0
3243,2013,1,4,1540.0,-5.0,1644.0,-19.0,9E,N8903A,3635,JFK,BWI,40.0,184,15.0,40.0
3425,2013,1,4,1827.0,-8.0,1925.0,-25.0,MQ,N845MQ,3944,JFK,BWI,39.0,184,18.0,27.0
3504,2013,1,4,1946.0,6.0,2059.0,-7.0,9E,N8903A,4091,JFK,BWI,41.0,184,19.0,46.0
